,Sales,Quantity,Discount,Profit,First Class,Same Day,Second Class,Standard Class,Consumer,Corporate,Home Office,Central,East,South,West,Furniture,Office Supplies,Technology
0,261.96,2,0.0,41.9136,0,0,1,0,1,0,0,0,0,1,0,1,0,0
1,731.94,3,0.0,219.582,0,0,1,0,1,0,0,0,0,1,0,1,0,0
2,14.62,2,0.0,6.8714,0,0,1,0,0,1,0,0,0,0,1,0,1,0
3,957.5775,5,0.45,-383.031,0,0,0,1,1,0,0,0,0,1,0,1,0,0
4,22.368,2,0.2,2.5164,0,0,0,1,1,0,0,0,0,1,0,0,1,0
5,48.86,7,0.0,14.1694,0,0,0,1,1,0,0,0,0,0,1,1,0,0
6,7.28,4,0.0,1.9656,0,0,0,1,1,0,0,0,0,0,1,0,1,0
7,907.152,6,0.2,90.7152,0,0,0,1,1,0,0,0,0,0,1,0,0,1
8,18.504,3,0.2,5.7825,0,0,0,1,1,0,0,0,0,0,1,0,1,0
9,114.9,5,0.0,34.47,0,0,0,1,1,0,0,0,0,0,1,0,1,0
10,1706.184,9,0.2,85.3092,0,0,0,1,1,0,0,0,0,0,1,1,0,0
11,911.424,4,0.2,68.3568,0,0,0,1,1,0,0,0,0,0,1,0,0,1
12,15.552,3,0.2,5.4432,0,0,0,1,1,0,0,0,0,1,0,0,1,0
13,407.976,3,0.2,132.5922,0,0,0,1,1,0,0,0,0,0,1,0,1,0
14,68.81,5,0.8,-123.858,0,0,0,1,0,0,1,1,0,0,0,0,1,0
15,2.544,3,0.8,-3.816,0,0,0,1,0,0,1,1,0,0,0,0,1,0
16,665.88,6,0.0,13.3176,0,0,0,1,1,0,0,1,0,0,0,0,1,0
17,55.5,2,0.0,9.99,0,0,1,0,1,0,0,0,0,0,1,0,1,0
18,8.56,2,0.0,2.4824,0,0,1,0,1,0,0,0,0,0,1,0,1,0
19,213.48,3,0.2,16.011,0,0,1,0,1,0,0,0,0,0,1,0,0,1
20,22.72,4,0.2,7.384,0,0,1,0,1,0,0,0,0,0,1,0,1,0
21,19.46,7,0.0,5.0596,0,0,0,1,0,1,0,1,0,0,0,0,1,0
22,60.34,7,0.0,15.6884,0,0,0,1,0,1,0,1,0,0,0,0,1,0
23,71.372,2,0.3,-1.0196,0,0,1,0,1,0,0,0,1,0,0,1,0,0
24,1044.63,3,0.0,240.2649,0,0,0,1,1,0,0,0,0,0,1,1,0,0
25,11.648,2,0.2,4.2224,0,0,1,0,1,0,0,0,0,0,1,0,1,0
26,90.57,3,0.0,11.7741,0,0,1,0,1,0,0,0,0,0,1,0,0,1
27,3083.43,7,0.5,-1665.0522,0,0,0,1,1,0,0,0,1,0,0,1,0,0
28,9.618,2,0.7,-7.0532,0,0,0,1,1,0,0,0,1,0,0,0,1,0
29,124.2,3,0.2,15.525,0,0,0,1,1,0,0,0,1,0,0,1,0,0
30,3.264,2,0.2,1.1016,0,0,0,1,1,0,0,0,1,0,0,0,1,0
31,86.304,6,0.2,9.7092,0,0,0,1,1,0,0,0,1,0,0,0,1,0
32,6.858,6,0.7,-5.715,0,0,0,1,1,0,0,0,1,0,0,0,1,0
33,15.76,2,0.2,3.546,0,0,0,1,1,0,0,0,1,0,0,0,1,0
34,29.472,3,0.2,9.9468,0,0,1,0,0,0,1,1,0,0,0,0,1,0
35,1097.544,7,0.2,123.4737,1,0,0,0,0,1,0,1,0,0,0,0,0,1
36,190.92,5,0.6,-147.963,1,0,0,0,0,1,0,1,0,0,0,1,0,0
37,113.328,9,0.2,35.415,0,0,0,1,0,0,1,1,0,0,0,0,1,0
38,532.3992,3,0.32,-46.9764,0,0,0,1,0,0,1,1,0,0,0,1,0,0
39,212.058,3,0.3,-15.147,0,0,0,1,0,0,1,1,0,0,0,1,0,0
40,371.168,4,0.2,41.7564,0,0,0,1,0,0,1,1,0,0,0,0,0,1
41,147.168,4,0.2,16.5564,0,0,0,1,0,1,0,1,0,0,0,0,0,1
42,77.88,2,0.0,3.894,0,0,0,1,0,1,0,0,0,0,1,0,1,0
43,95.616,2,0.2,9.5616,0,0,0,1,0,1,0,0,0,1,0,0,1,0
44,45.98,2,0.0,19.7714,1,0,0,0,0,1,0,1,0,0,0,0,0,1
45,17.46,2,0.0,8.2062,1,0,0,0,0,1,0,1,0,0,0,0,1,0
46,211.96,4,0.0,8.4784,0,0,1,0,1,0,0,1,0,0,0,0,1,0
47,45.0,3,0.0,4.95,0,0,0,1,1,0,0,0,1,0,0,0,0,1
48,21.8,2,0.0,6.104,0,0,0,1,1,0,0,0,1,0,0,0,0,1
49,38.22,6,0.0,17.9634,0,0,0,1,1,0,0,1,0,0,0,0,1,0
50,75.18,6,0.0,35.3346,0,0,0,1,1,0,0,1,0,0,0,0,1,0
51,6.16,2,0.0,2.9568,0,0,0,1,1,0,0,1,0,0,0,1,0,0
52,89.99,1,0.0,17.0981,0,0,0,1,1,0,0,1,0,0,0,1,0,0
53,15.26,7,0.0,6.2566,0,0,0,1,0,1,0,0,1,0,0,0,1,0
54,1029.95,5,0.0,298.6855,0,0,0,1,0,1,0,0,1,0,0,0,0,1
55,208.56,6,0.0,52.14,1,0,0,0,1,0,0,0,1,0,0,0,1,0
56,32.4,5,0.0,15.552,1,0,0,0,1,0,0,0,1,0,0,0,1,0
57,319.41,5,0.1,7.098,1,0,0,0,1,0,0,0,1,0,0,1,0,0
58,14.56,2,0.0,6.9888,1,0,0,0,1,0,0,0,1,0,0,0,1,0
59,30.0,2,0.0,3.3,1,0,0,0,1,0,0,0,1,0,0,0,0,1
60,48.48,4,0.2,16.362,1,0,0,0,1,0,0,0,1,0,0,0,1,0
61,1.68,1,0.0,0.84,1,0,0,0,1,0,0,0,1,0,0,0,1,0
62,13.98,2,0.0,6.1512,0,0,0,1,1,0,0,0,0,0,1,0,0,1
63,25.824,6,0.2,9.3612,0,0,0,1,1,0,0,0,0,0,1,0,1,0
64,146.73,3,0.0,68.9631,0,0,0,1,1,0,0,0,0,0,1,0,1,0
65,79.76,4,0.0,22.3328,0,0,0,1,1,0,0,0,0,0,1,1,0,0
66,213.115,5,0.3,-15.2225,0,0,0,1,0,0,1,1,0,0,0,1,0,0
67,1113.024,8,0.2,111.3024,0,0,0,1,0,1,0,0,0,0,1,0,1,0
68,167.968,4,0.2,62.988,0,0,0,1,0,1,0,0,0,0,1,0,0,1
69,75.88,2,0.0,35.6636,1,0,0,0,1,0,0,0,0,1,0,0,1,0
70,4.616,1,0.2,1.731,0,0,0,1,1,0,0,0,1,0,0,0,1,0
